KKN23012,001,3
KKN23012,002,1
KKN23012,003,1
KKN23012,004,4
KKN23012,005,1
KKN23012,006,2
KKN23012,007,1
KKN23012,008,1
KKN23012,009,
KKN23012,010,1
KKN23012,011,1
KKN23013,001,3
KKN23013,002,1
KKN23013,003,1
KKN23013,004,4
KKN23013,005,1
KKN23013,006,2
KKN23013,007,1
KKN23013,008,1
KKN23013,009,
KKN23013,010,1
KKN23013,011,1
KKN23014,001,3
KKN23014,002,2
KKN23014,003,1
KKN23014,004,4
KKN23014,005,
KKN23014,006,2
KKN23014,007,2
KKN23014,008,1
KKN23014,009,
KKN23014,010,
KKN23014,011,1
KKN23015,001,3
KKN23015,002,2
KKN23015,003,1
KKN23015,004,4
KKN23015,005,
KKN23015,006,2
KKN23015,007,2
KKN23015,008,1
KKN23015,009,
KKN23015,010,
KKN23015,011,1
KKN23016,001,3
KKN23016,002,2
KKN23016,003,1
KKN23016,004,4
KKN23016,005,
KKN23016,006,2
KKN23016,007,2
KKN23016,008,1
KKN23016,009,
KKN23016,010,
KKN23016,011,1
KKN23017,001,3
KKN23017,002,2
KKN23017,003,1
KKN23017,004,4
KKN23017,005,
KKN23017,006,2
KKN23017,007,2
KKN23017,008,1
KKN23017,009,
KKN23017,010,
KKN23017,011,1
KKN23018,001,3
KKN23018,002,2
KKN23018,003,1
KKN23018,004,4
KKN23018,005,
KKN23018,006,2
KKN23018,007,2
KKN23018,008,1
KKN23018,009,
KKN23018,010,
KKN23018,011,1
KKN23019,001,3
KKN23019,002,2
KKN23019,003,1
KKN23019,004,4
KKN23019,005,
KKN23019,006,2
KKN23019,007,2
KKN23019,008,1
KKN23019,009,
KKN23019,010,
KKN23019,011,1
KKN23020,001,3
KKN23020,002,2
KKN23020,003,1
KKN23020,004,3
KKN23020,005,1
KKN23020,006,2
KKN23020,007,2
KKN23020,008,
KKN23020,009,
KKN23020,010,1
KKN23020,011,1
KKN23021,001,3
KKN23021,002,2
KKN23021,003,1
KKN23021,004,3
KKN23021,005,1
KKN23021,006,3
KKN23021,007,1
KKN23021,008,
KKN23021,009,1
KKN23021,010,
KKN23021,011,1
KKN23022,001,3
KKN23022,002,2
KKN23022,003,1
KKN23022,004,3
KKN23022,005,1
KKN23022,006,3
KKN23022,007,1
KKN23022,008,
KKN23022,009,1
KKN23022,010,
KKN23022,011,1
KKN23023,001,3
KKN23023,002,2
KKN23023,003,1
KKN23023,004,3
KKN23023,005,1
KKN23023,006,3
KKN23023,007,1
KKN23023,008,
KKN23023,009,1
KKN23023,010,
KKN23023,011,1
KKN23024,001,3
KKN23024,002,2
KKN23024,003,1
KKN23024,004,3
KKN23024,005,1
KKN23024,006,3
KKN23024,007,1
KKN23024,008,
KKN23024,009,1
KKN23024,010,
KKN23024,011,1
KKN23025,001,3
KKN23025,002,2
KKN23025,003,1
KKN23025,004,3
KKN23025,005,1
KKN23025,006,3
KKN23025,007,1
KKN23025,008,
KKN23025,009,1
KKN23025,010,
KKN23025,011,1
KKN23026,001,3
KKN23026,002,2
KKN23026,003,1
KKN23026,004,3
KKN23026,005,1
KKN23026,006,3
KKN23026,007,1
KKN23026,008,
KKN23026,009,1
KKN23026,010,
KKN23026,011,1
KKN23027,001,3
KKN23027,002,2
KKN23027,003,1
KKN23027,004,3
KKN23027,005,1
KKN23027,006,3
KKN23027,007,1
KKN23027,008,
KKN23027,009,1
KKN23027,010,
KKN23027,011,1
KKN23028,001,3
KKN23028,002,2
KKN23028,003,1
KKN23028,004,3
KKN23028,005,1
KKN23028,006,3
KKN23028,007,2
KKN23028,008,
KKN23028,009,1
KKN23028,010,
KKN23028,011,1
KKN23029,001,3
KKN23029,002,2
KKN23029,003,1
KKN23029,004,3
KKN23029,005,
KKN23029,006,3
KKN23029,007,2
KKN23029,008,1
KKN23029,009,
KKN23029,010,1
KKN23029,011,1
KKN23030,001,3
KKN23030,002,2
KKN23030,003,1
KKN23030,004,3
KKN23030,005,
KKN23030,006,3
KKN23030,007,2
KKN23030,008,1
KKN23030,009,
KKN23030,010,1
KKN23030,011,
KKN23031,001,3
KKN23031,002,2
KKN23031,003,1
KKN23031,004,3
KKN23031,005,
KKN23031,006,3
KKN23031,007,2
KKN23031,008,1
KKN23031,009,
KKN23031,010,1
KKN23031,011,
KKN23032,001,3
KKN23032,002,2
KKN23032,003,1
KKN23032,004,3
KKN23032,005,
KKN23032,006,3
KKN23032,007,2
KKN23032,008,1
KKN23032,009,
KKN23032,010,1
KKN23032,011,
KKN23033,001,3
KKN23033,002,2
KKN23033,003,1
KKN23033,004,3
KKN23033,005,
KKN23033,006,3
KKN23033,007,2
KKN23033,008,1
KKN23033,009,
KKN23033,010,1
KKN23033,011,
KKN23034,001,3
KKN23034,002,2
KKN23034,003,1
KKN23034,004,3
KKN23034,005,
KKN23034,006,3
KKN23034,007,2
KKN23034,008,1
KKN23034,009,
KKN23034,010,1
KKN23034,011,
KKN23035,001,3
KKN23035,002,2
KKN23035,003,1
KKN23035,004,3
KKN23035,005,
KKN23035,006,3
KKN23035,007,2
KKN23035,008,1
KKN23035,009,
KKN23035,010,1
KKN23035,011,
KKN23036,001,3
KKN23036,002,2
KKN23036,003,1
KKN23036,004,3
KKN23036,005,
KKN23036,006,3
KKN23036,007,2
KKN23036,008,1
KKN23036,009,
KKN23036,010,1
KKN23036,011,
KKN23037,001,3
KKN23037,002,2
KKN23037,003,1
KKN23037,004,3
KKN23037,005,
KKN23037,006,3
KKN23037,007,1
KKN23037,008,1
KKN23037,009,1
KKN23037,010,
KKN23037,011,1
KKN23038,001,3
KKN23038,002,2
KKN23038,003,1
KKN23038,004,3
KKN23038,005,
KKN23038,006,3
KKN23038,007,1
KKN23038,008,1
KKN23038,009,1
KKN23038,010,
KKN23038,011,1
KKN23039,001,3
KKN23039,002,2
KKN23039,003,1
KKN23039,004,3
KKN23039,005,
KKN23039,006,3
KKN23039,007,1
KKN23039,008,1
KKN23039,009,1
KKN23039,010,
KKN23039,011,1
KKN23040,001,3
KKN23040,002,2
KKN23040,003,1
KKN23040,004,3
KKN23040,005,
KKN23040,006,3
KKN23040,007,1
KKN23040,008,1
KKN23040,009,1
KKN23040,010,
KKN23040,011,1
